distance,height,landings,number,pack,age,usage,region,weight,item,volume,width,max,power,size,target
5222,10251.6401,0.9799219352486587,-1.1478815380239693,1.993002371347464,29509.3322,35549.10915,RE-B,4702,IT-11,40843,27097.886000000002,3341,19833,1141,-9.960090413106325
4611,1355.7244,0.4703069354639471,-0.7483625384833053,1.1308728451556374,53717.2521,19754.42471,RE-3,1338,IT-0,43261,24853.007999999998,34461,16474,1339,-34.372551823365804
5062,9980.9078,0.6451069643337364,-1.3090095120869554,0.8128872424895786,27886.7585,49496.604889999995,RE-E,2887,IT-B,25980,22224.199,17133,22495,1566,15.607453555784552
4891,2851.8781,-1.1515416123024225,1.4575412920183035,0.37049888960463295,35350.1211,42344.59643,RE-F,2177,IT-10,41737,23669.787,28773,6880,946,-32.72104139644623
2887,11527.9847,-1.2765818701100902,0.5141139787022062,-1.7771348758454544,48047.4875,17949.24565,RE-0,1296,IT-10,40179,27907.0,13376,24649,1726,29.529924263029734
3730,1979.5627,-0.7654873954641384,1.2175012024321725,-1.0980219918422431,27496.3978,43975.700260000005,RE-A,1238,IT-F,26437,31213.522999999997,17611,10833,1181,-18.885321826702143
6832,15250.4318,1.4431951611455285,-1.3569817295111801,-1.2927398824966556,36436.5512,23699.26215,RE-E,2633,IT-4,41533,18955.263,10571,15675,1199,-14.946671991262484
7088,11166.718,1.3081110195988395,-0.5380280741357066,0.12103252352162064,46595.1412,11195.70388,RE-1,1595,IT-2,33596,27929.88,32135,16255,1386,-10.036558217709402
5039,16038.6299,-0.21802341146775764,0.6804394644344195,0.5128214849736829,50980.8415,24967.61421,RE-E,1671,IT-1,47135,26209.163500000002,1476,25714,978,-30.574626934711226
3677,5401.6685,1.5610551142099105,0.32481866704909523,-0.23592623730158402,40727.5013,40043.898760000004,RE-2,4746,IT-2,65456,30431.611,2935,19186,776,-18.562668942678933
6907,2633.8337,0.2112501882594746,-1.042806793488488,-0.3096135135446257,38894.3742,40242.81925,RE-10,4931,IT-13,24934,35563.316,32497,8908,1197,3.608983697796425
7873,8750.9505,0.2755149212573814,0.6904156968073571,-1.1217790470645972,15969.943000000001,28050.710939999997,RE-3,3731,IT-5,52302,14429.077,20461,19818,1338,20.358842983062512
6770,13597.9977,0.07513015415073304,0.36832250535202116,0.7777970714219751,31001.7082,19114.59885,RE-C,1804,IT-6,62589,26092.101000000002,28385,12571,1441,9.635946389296087
3809,13500.4273,-1.3899272764168464,-1.461152304216273,2.7772957855626106,45598.7879,41570.61327,RE-11,3613,IT-2,48163,26466.675,8389,21155,1039,-18.003564333698932
5638,3688.9001,0.5195466608209297,0.46241603224157674,-0.11546886003009914,58335.5052,32295.705210000004,RE-F,4350,IT-A,30824,30682.897,19207,18357,1558,36.9784979593738
5069,2146.1286,-1.3756652991254874,1.457404578118691,0.6753267622648214,44997.6259,26415.91046,RE-10,1206,IT-4,40344,26209.163500000002,29874,12903,1359,-24.989596780837108
8592,16022.4987,-1.6061073756514799,0.8453965581290782,-0.508087064875987,25500.8679,27882.921260000003,RE-0,3797,IT-2,20457,30789.802000000003,28311,13502,920,-13.963777806770134
5048,14614.5105,-0.4021714083429269,1.7163172795351462,-0.41900118103643963,29245.4122,5640.14246,RE-2,2832,IT-7,43634,28174.652000000002,27263,21562,927,-19.082141070486323
4443,1891.4498,1.3727364760108784,0.6862583879549424,0.32018158796086815,38336.0338,29665.750389999997,RE-A,4839,IT-6,18974,14602.767,8736,13009,1100,-82.92950898090095
5425,17266.628,0.7298096721459177,1.4494188443617537,-0.8541916634630745,50338.6316,44554.12134,RE-2,3806,IT-9,32515,18502.251,24054,21233,1282,24.43704816904961
6166,12469.8189,-0.9175206101811108,-1.5080941762364186,-1.7037466833312465,43704.0825,36653.599480000004,RE-F,690,IT-A,64761,31106.88,31611,17167,992,26.839751053203486
5125,5684.3823,-1.116978886301097,-0.16892351779987155,0.5431785955686632,62908.5807,33355.90623,RE-6,2464,IT-9,26204,26209.163500000002,11796,20263,1468,20.046465978852588
5392,16882.3319,-1.6445999670635467,-1.041738834393837,1.5995870690427236,32982.8974,34405.37935,RE-2,2275,IT-12,58152,25049.714,28845,10867,1578,29.49523641173811
3247,2305.0946,-0.5132341900692649,-0.9382728580653672,-0.10705551445102503,28819.1942,24537.78542,RE-A,2114,IT-C,59418,25534.171000000002,6342,19300,1024,-26.395664207632922
3888,11912.1371,1.7755872845032628,0.3948332191432316,0.08526956222054331,38058.6153,41278.81171,RE-9,1087,IT-5,63012,26701.917,19840,8911,909,-8.597435222896207
3477,5614.5749,-1.012808310247672,0.16580056322415226,1.160253196631277,41141.8784,41602.09645,RE-5,1959,IT-7,49039,33112.097,24492,13658,1334,1.7156547954047667
3904,15061.6223,-0.7707086999381454,-1.3552800232731452,-0.19480533186715934,48754.6094,45847.28895,RE-7,1750,IT-8,60071,17357.909,9481,17876,1345,14.419260817901057
4592,9818.6628,1.023950040506842,-0.4125989050498255,0.22735356171498441,19897.5533,26706.159480000002,RE-D,4481,IT-8,66577,18680.692,27651,18796,1652,39.046457559101455
5457,5794.3421,0.15120753227452768,-0.7583538758476228,-0.05311746254898967,45005.4974,29107.412999999997,RE-1,2022,IT-A,58192,28537.327999999998,28175,14181,1426,-16.028291620662085
4172,11040.3487,-0.2719164867756807,0.03204455625770033,0.3313735307762908,32757.5413,31096.655689999996,RE-C,1415,IT-6,36253,17603.394,18163,13799,941,-53.778351616869905
5333,1224.0522,0.39231871112412425,-0.2879568370747985,0.6370405693050026,34668.1407,25254.564,RE-9,3795,IT-E,56463,25787.734,18967,6938,1568,-7.275132308276353
4273,10289.8089,-0.470387881097109,1.1016097420852111,0.6437663654163002,32586.5741,19111.07811,RE-D,880,IT-8,48856,33232.096,27197,18488,1333,5.975901024740695
5744,9335.9855,-0.6384424703750707,1.3088454712393327,-1.4320249833234677,31633.6695,36440.93569,RE-8,3734,IT-5,26192,24150.572,11887,11589,1528,-12.04098961959114
3702,7588.8867,-0.5826878758391101,-1.1393116624840152,-0.6059535139513839,45047.8635,22936.83795,RE-A,1736,IT-8,26999,28582.722,4530,16684,1667,-11.548552698918336
3661,15112.9391,-1.204214796759517,0.8977861460459734,0.9146125732075144,27002.625,22115.82551,RE-D,3145,IT-4,37986,22447.84,1354,17914,1533,-14.227211886536551
4730,7610.0385,-1.6624864958208936,0.7241280794382844,0.9896863611266844,58995.7764,42220.09646,RE-9,4358,IT-2,58844,14728.166000000001,13422,14038,1613,-1.2427846526305089
7038,10254.4914,0.7497209613473201,-1.1604734048780063,-1.538911033974301,42813.4235,31719.23264,RE-11,4921,IT-B,50813,35062.285,23976,13136,740,9.57952544208236
3583,4034.3577,-0.7970735422272996,1.0526683451763514,0.2843606614686245,34844.8379,30997.05445,RE-B,1177,IT-F,37240,35147.685,6955,15222,1236,-19.59553539117148
5311,11183.5618,-0.7321124772410563,-0.7191125604353037,-0.7350993272021317,30656.1637,14055.55284,RE-1,1761,IT-13,43145,28991.581000000002,16372,15824,1482,11.00741636733022
4149,6634.4473,0.8782611757492378,-0.24951963869606184,0.411456342489775,62454.087999999996,25174.88824,RE-0,2500,IT-2,54422,25980.006,12830,13273,1055,-45.96842583076738
4922,12956.4781,0.7409885202910582,0.5049727323866937,-1.1299016136817952,34961.0755,45462.2342,RE-F,2031,IT-9,44860,27712.627999999997,9025,18009,1758,43.22920219362741
3235,2221.9856,-1.0759771091706292,-1.2369776294832409,-0.6215666279924035,26816.5241,31128.46443,RE-11,2477,IT-12,47186,28017.521,14240,12316,1545,-22.615638512361933
4842,17229.9733,1.4749075863531942,0.8409981720486577,1.2082509296138888,49974.6483,11078.688890000001,RE-C,1752,IT-8,47894,35061.626000000004,5504,18419,1225,-0.2418030288408506
5979,7508.4699,1.3352619161236727,1.3832209568862022,-0.4512909718723954,49131.7504,31059.844310000004,RE-3,3300,IT-E,57719,23892.31,5692,15686,880,16.312593231536596
6573,6120.7235,-0.5438047794415721,-0.3682270578387928,-1.0191741398184782,51065.5079,38933.18348,RE-C,1369,IT-6,57403,32701.178,25061,4365,1244,4.0407284994855805
3692,13147.0479,0.08955540573261113,0.5488961104869694,1.2060912016891954,23550.6561,32690.07556,RE-C,2691,IT-2,66530,22311.495,30319,16290,1279,-9.21129455036692
5821,14370.2953,-0.8494902540971545,1.0890624569141882,-0.3445697512249581,47329.9715,32246.132960000003,RE-F,1583,IT-11,70683,22163.792,25722,16644,1325,47.60950576915737
7387,6141.4283,1.3736124081860646,1.6362411345705445,-1.0148851160948762,47245.8527,23007.53127,RE-5,2909,IT-2,38092,21486.401,19305,21528,1197,-22.968939662356966
2900,13419.9469,-0.37219637134126865,0.262009936041287,0.31386877982183564,28718.406000000003,30864.934339999996,RE-6,3329,IT-13,40927,17060.744,26814,16190,898,-42.607619243817524
3440,16102.7943,-0.5096604491036382,-0.5148483876620115,0.12991562900445702,24453.748,18336.8169,RE-5,922,IT-A,66963,31511.671000000002,25045,12706,2092,58.230556785916775
3952,16184.5503,1.5957114700898585,0.4071497213655171,0.10726958662688166,46411.02099999999,28636.039839999998,RE-7,2036,IT-3,55548,21196.433999999997,8929,14944,1732,-0.9644390949973776
4420,8092.2125,-1.6843484997257476,-1.5698989925532592,-1.179313463482005,37466.4439,25616.49192,RE-D,2844,IT-A,35631,30447.122000000003,10783,9700,841,-45.6486408759168
7655,9658.3506,-0.4964115889503208,-1.2732347890306281,0.38260710368517287,9426.905999999999,35409.66321,RE-5,4414,IT-0,27755,25425.084,12506,15984,1619,-26.917089197002593
5570,13362.498,0.16136296823819374,-0.35990647307815316,0.929143624965522,49900.7457,39770.47097,RE-C,4609,IT-1,75974,26209.163500000002,12296,14270,1607,16.773795460891773
5528,3124.2203,0.6411843252980982,-1.643524529163298,-0.8608531356706076,31315.9016,22623.12341,RE-11,2741,IT-D,15849,22050.528,18690,27674,1570,-1.8577164565031128
4334,1891.2803,-0.6065130796681647,1.329476984864351,1.1647090764971768,11637.5052,11214.61678,RE-7,4716,IT-9,46171,21270.855,11141,15276,1379,-43.379793847789486
6132,12298.9759,1.4856109966145916,1.2549337407415988,0.5456439180954177,31992.4839,44967.78552,RE-11,3808,IT-9,57057,27906.732999999997,14209,21913,1119,19.356035994966053
4731,17706.5439,1.195424633209908,-1.3142618266195847,0.16297991744164228,33904.137,20652.00494,RE-7,3932,IT-10,50057,15411.533000000001,30061,20219,1582,32.52056366373308
6649,1856.9873,-1.0511632851149808,0.1902458520474629,-0.06620734493126738,34335.3424,41509.21408,RE-A,2332,IT-5,61577,21448.702999999998,31457,19288,1328,0.3862994394341732
4841,15837.8125,-1.47480059621858,0.21249327166854573,0.7731931152387684,39706.2205,31818.934739999997,RE-6,1099,IT-1,53904,19765.652,7253,14522,1414,-9.24527268162039
6055,2924.7327,0.2599864495300099,0.6612595046222695,0.9049324903926382,49171.2026,29968.050919999998,RE-11,3072,IT-F,48753,23447.548,2007,22070,1325,-2553.4001129072767
6928,8289.4158,-1.1418478649104589,-0.449990222497968,1.4173439794577483,37115.9004,25817.14455,RE-8,4009,IT-10,51212,33220.888,33833,20335,1355,21.744217649440127
6053,12990.4162,-0.5722100925627178,-1.309932544306267,-0.1829609483002673,23488.8162,25203.248919999998,RE-2,4799,IT-2,31045,27957.179,27714,16284,1269,-4.1604628302484565
6307,16592.8737,0.8559892384130563,-1.5997091583993577,-0.27380153249567213,41786.5417,37868.17557,RE-4,3820,IT-8,58987,36930.234,13973,11214,1705,54.9921319360462
3972,9361.6494,-0.7143127714687041,-0.9437976593210905,0.48064445317221505,46484.2245,31111.13817,RE-10,1321,IT-B,26226,26209.163500000002,11286,23919,1527,27.109349442250444
5965,4625.0721,-1.2773336325418791,-1.3317604321881449,-0.00649521360113623,28180.066000000003,38643.06085,RE-A,847,IT-A,80605,32062.347999999998,9242,9720,1548,13.822985828836828
5792,15175.9785,-1.3260769136735606,-0.6910708142034118,-1.1508492150939456,31603.9186,27140.16036,RE-F,1105,IT-9,47330,26193.771,9533,13796,1114,-7.063898449302589
4576,4433.9121,1.066269598523819,1.248320187501174,0.8454657220808763,39476.4103,33959.48022,RE-2,3496,IT-B,46289,26209.163500000002,3091,24854,1335,7.96786379771265
7148,12858.6544,1.5475634259110247,0.5570490202310772,1.6052881273858435,24884.438,16227.66753,RE-2,2987,IT-A,34072,35555.053,29395,21981,1646,31.376516318539515
5203,16435.2094,-1.085984831993111,-0.8189336533617938,-1.0686000844979988,40958.1723,22996.93176,RE-3,4658,IT-A,31672,25596.21,18360,13464,1606,10.902255417584712
2912,6091.8135,-1.122670925626155,1.0106932427429984,-0.5546541115493574,26809.6463,24877.28172,RE-0,4007,IT-F,28069,26209.163500000002,4968,6364,1162,-39.7906739286853
3477,7806.189,-0.22779471695098308,-1.7369732640716236,-0.9285819938878378,41502.9628,21315.84147,RE-8,476,IT-B,69116,29442.943,23656,18300,1362,16.54147729242296
5523,4421.6839,0.9722661353462748,-0.2787808687913327,-2.0207497367656106,41906.1973,28502.750030000003,RE-7,3149,IT-9,58297,14822.444,33216,11321,1213,-20.366822141194785
3929,18153.3319,0.9914154106339935,-0.0908432324195178,0.39736718121507464,54723.0876,26655.578830000002,RE-F,3750,IT-7,53623,25660.426,2412,16446,1171,-15.059747168484217
3979,9683.0982,0.29332159122891505,1.59693015937917,1.1653300760576373,50662.8496,37749.49019,RE-A,3568,IT-6,47397,20975.678,25312,9598,1522,4.777256498217097
6188,8854.2844,-1.02252725960264,-0.47312099948961006,-0.6603315262992757,35507.3515,24257.58979,RE-C,4609,IT-4,59367,21654.369,31228,18774,1226,-2.455802942435275
6635,8420.5527,1.0303515738582116,-1.7063007121753535,0.1889000481225265,29276.3107,26129.15127,RE-9,2028,IT-0,52891,19316.917,30428,17820,1193,-13.513285457896524
5411,14818.5714,-0.8015947409930851,-0.8342356554323538,-0.3881919131199267,45513.9644,32433.438560000002,RE-11,4222,IT-7,32018,26209.163500000002,29257,11332,1312,17.344453263478087
6782,9390.6423,-0.06323529007802851,-1.2377831946804598,0.14746513120072496,32837.6023,25509.973830000003,RE-6,2649,IT-5,37771,33891.827000000005,23386,16444,1315,-0.1757155865573441
6296,14835.6143,1.4368019520813538,-0.9785786744772945,-0.12683360926925596,21636.692000000003,41022.48944,RE-1,2409,IT-13,63887,18818.436,22953,16660,1593,44.597923880916355
4701,13174.0109,-0.6807471029184871,-1.2165242227180557,1.0672403753057904,48789.8874,30790.58502,RE-0,4191,IT-0,55199,22167.281000000003,4451,16771,806,0.2329348957471637
3812,1060.5101,0.6011551692094264,-1.1654603163719108,-1.2598434432500838,28875.8681,37926.94058,RE-3,4665,IT-F,49131,16688.039,29788,12515,1075,-21.424563444912263
6085,16795.3357,1.5024468202736467,0.5404131621780157,-0.09753730651996277,35128.443999999996,42924.64366,RE-E,4300,IT-D,43567,30341.593999999997,11768,16135,1052,17.43822766986133
4416,6320.1827,1.7491089571478982,1.5481527877230827,-0.9236323928233464,37121.4853,19224.31634,RE-4,959,IT-10,41815,32292.825,18785,11595,1367,3.406580791539412
6051,6672.9321,0.2279446030998978,0.6722216423093778,0.6950859571312492,37145.7742,32226.98338,RE-2,1631,IT-1,31138,14626.716,13656,19855,1286,-39.29477688031878
7939,1663.8572,1.1890343258281675,1.6998109164356208,-0.1968526691462565,27348.1099,26070.91971,RE-1,3919,IT-13,59639,24690.311,23969,14280,1196,5.979991606844476
8076,3278.4874,-0.30268976152978394,0.1075065071030524,-0.3470720968352668,32368.6196,38394.234769999995,RE-0,4237,IT-8,29738,27002.316000000003,6754,19125,1391,-15.318324663351357
6337,14145.2296,-1.6075076524102294,1.4340283834372063,-0.6575901523578344,31943.4784,30299.83893,RE-F,3126,IT-B,51061,26209.163500000002,19541,13880,1798,-5.724582974710453
5921,2908.1389,-0.19336731002664465,0.265786134961819,-0.7166517889908559,43604.7085,44172.64369,RE-E,1827,IT-A,18775,28160.077999999998,22292,17475,1153,-14.232135688914545
4877,15830.6665,-1.6312354453805196,-1.2826665176320704,0.6604221962050734,45754.6242,30146.700760000003,RE-4,4641,IT-D,51934,36731.191,6592,19548,1478,192.2509554934274
5661,15947.0229,0.49305896289476836,0.06260362415745967,-1.459203666600009,29609.188,26943.797560000003,RE-E,3784,IT-D,38692,23664.625,10458,7438,1117,-7.5114235477189615
6572,3916.5044,1.1730622459873632,0.4378909096565237,-1.3124086859410475,22820.1338,22796.848840000002,RE-2,3229,IT-8,48226,25962.395,18632,18098,1418,3.1199277208297573
4287,11619.5067,1.1464036037132503,-0.45405104082891296,0.7160273359745221,44677.1156,35475.67349,RE-11,4523,IT-D,48043,17984.777,629,9091,1372,-8.198537110300313
4634,11826.0959,0.8696413856364066,1.6428511842449702,1.9565913979700644,23090.5643,11557.216209999999,RE-3,1588,IT-C,45822,26209.163500000002,25503,15418,1264,-18.94266447430852
6246,3055.454,0.1799012171290051,-0.45059459885675635,0.1383341320280065,44850.3503,41298.35982,RE-0,2666,IT-9,52567,26209.163500000002,11476,16964,1603,18.55382167707623
3718,17560.9405,0.4571851394762048,0.5839338874733627,-1.8143391827082527,43619.3799,39537.04791,RE-11,4046,IT-0,50539,26209.163500000002,1910,15341,901,-15.766116877237598
3618,18344.7685,-0.974743919071781,1.3058399031584067,-0.8379395388482022,61230.0774,32719.83893,RE-3,1459,IT-1,75198,27431.961,30825,17218,1098,52.083960355760034
4279,10361.9463,-0.6901329492943694,0.9516177693806427,0.12345267035849235,21132.4306,40442.69026,RE-11,4779,IT-9,56202,29149.167,16335,22197,1157,8.244854331502815
6872,1515.2837,0.5652830277502389,0.8264165715267412,-2.537628798039685,44546.5585,52994.71561,RE-10,1751,IT-10,60313,33589.029,12314,26208,1430,56.790144975976546
5342,5962.5873,-0.47678270032479225,-1.4055516931682277,-0.8843800119036689,52506.7792,21880.64462,RE-D,4139,IT-6,35712,35136.105,24746,20031,1215,-9.281464275027414
4904,17820.731,-1.5981496596042906,1.0289347297803078,-1.3158429273105272,33765.3056,19662.04391,RE-0,4024,IT-11,46749,25310.778,7443,18765,1129,4.12500835816381
3512,5309.7257,-1.1264388719942198,1.3935276951963516,0.7186067869814246,25566.1799,25404.952830000002,RE-7,3300,IT-12,2349,33029.379,15814,12362,1142,-34.75518520177755
7330,10629.9765,-1.0339172472946885,-1.6096938523993303,-0.4211911408755644,44036.6813,35110.205989999995,RE-9,1067,IT-8,45688,27583.081000000002,839,11510,1342,-7.404850840882012
5125,16117.31,-1.08774916865711,-1.4123139283792085,1.5026007811126636,14837.9075,31573.32075,RE-10,2190,IT-3,24324,22306.839,31919,18587,837,-78.70948301650195
4437,11201.6776,0.8941403001085598,-0.43331187615265065,0.02785801951521962,29840.3003,43235.53079,RE-E,1277,IT-B,56624,25677.468999999997,3616,20151,1155,5.680292496602219
8306,4215.8523,0.8136212254455397,-1.5106160392441477,0.5328040196095558,44572.3955,36148.96462,RE-7,4934,IT-11,61137,25661.997000000003,12866,16070,1297,14.498296453081965
5736,6624.4614,1.2720133366643311,0.615471836287842,0.06531211006308026,33650.8162,14920.450190000001,RE-B,1435,IT-9,24025,22319.417999999998,9761,19539,1026,-48.14901850164927
5776,10057.9676,1.1268382528173753,-0.6170914623227806,-0.8512910494192357,16826.806,22251.79308,RE-0,2078,IT-3,55918,22842.075,10823,13106,1266,-12.313982857481037
3989,10832.8687,-1.6153626213102747,0.8862511899952513,0.5946941221229433,40614.8074,29422.27415,RE-A,720,IT-B,34435,446.0,25881,11583,893,-89.49107111956938
5977,15851.2756,0.9964558943913976,-1.6421020830941737,-0.5147387267271819,32546.7226,22065.64295,RE-8,4823,IT-10,69943,26209.163500000002,26661,21350,962,42.02917639306555
5320,2187.843,1.7628575197682046,0.5360773878783489,0.7926079625934843,37617.3174,40794.624019999996,RE-9,3067,IT-7,23675,28864.706000000002,26783,18992,1241,-10.505608656050912
3070,12841.073999999999,1.0070288443006623,-1.674909237399908,-0.3374963241357457,20300.321,34455.01385,RE-4,3887,IT-6,51258,27376.444,33373,16392,1334,9.368224427951494
4743,3490.7371,-1.0657422831110281,1.1868218321947113,1.7710922711374435,24650.7079,28669.10695,RE-E,740,IT-8,70737,26209.163500000002,23536,18510,1342,4.652283756622472
4724,8426.3537,-0.5553232841571507,0.3887567055304078,-0.5992088018713747,33434.6423,29772.697119999997,RE-8,3774,IT-11,81745,37327.589,19427,12799,1358,81.68637432728956
4085,18542.0581,1.0059145119295554,0.14434198181958868,-2.438290379073883,61283.6189,38176.65294,RE-9,2329,IT-F,66145,27656.423,1099,18107,924,38.25181287592334
5011,7835.5115,0.975349769483654,0.7303516363404746,1.59437736940422,32637.0023,34777.88653,RE-6,4307,IT-F,44909,23453.017999999996,21377,9191,1878,17.711974776355305
4409,6473.344,-1.120823597779097,1.4143764264598595,-1.8689672270032849,22806.8554,30448.804969999997,RE-D,3200,IT-9,41544,20829.621,25691,11325,1590,-85.13202285603562
5097,18112.1975,0.32850790629063126,-1.1321476718000247,0.20617389131836047,34034.371,18527.77474,RE-0,2746,IT-11,53515,32141.28,11820,11752,1074,3.91382258209481
3996,16402.552,-0.5613007499715686,-0.4546226878837025,-0.6209140110549431,29731.9362,37389.25758,RE-6,3385,IT-1,59960,23823.159,1459,12847,1041,-20.08113829470449
6865,8782.5674,1.7683967411852046,0.9392553829338854,0.6318354985529998,18774.0351,40948.75252,RE-B,595,IT-C,27739,18464.473,2403,18127,1240,-27.94396989417726
5619,6857.6565,1.2779476289613199,1.508752703845945,0.5904383414925342,18593.1166,36423.54955,RE-9,500,IT-A,55891,15912.611,10178,6927,1582,-21.555011573170837
3299,9289.5279,1.5736164055042439,-1.2409671723772098,0.5479416396936387,61653.8327,34858.92366,RE-4,4825,IT-9,50083,31181.172000000002,26390,15995,1178,28.330176669086583
4005,7552.0993,-0.5678157570954163,0.6552534980448093,-0.9570080900003078,32060.5189,24607.29667,RE-1,4036,IT-E,32769,20331.819,33293,22223,1497,12.14377415699137
7363,14528.7968,-0.5846592967935267,1.2885404523224386,0.35825566099551115,33152.9861,33496.10872,RE-8,2559,IT-13,56437,24114.955,32061,15701,1189,20.63264103413021
3880,5722.8533,1.0965221935103993,-0.7382234999397025,-1.5068169617494145,35386.9873,41665.43054,RE-C,3433,IT-3,44370,26209.163500000002,8525,8728,1213,-3.3347931632627468
6907,10056.0471,1.1867299172520709,0.26417128400706874,-1.16016166181243,31766.0356,17690.98076,RE-B,625,IT-4,21402,23474.712000000003,6075,11194,1145,-47.860134771824036
5279,10886.1918,-0.33696235478227743,-0.4948707947444838,1.119177234641564,25630.2627,6567.90349,RE-9,930,IT-5,35867,30913.603,431,24757,1516,-17.622037512995753
4236,1685.44,0.41987026731290633,-0.2958381562765683,-1.2410589493302802,46117.3571,29788.95654,RE-6,706,IT-1,66066,15001.163,12645,10446,1870,-146.98291793017177
6154,2584.8854,-0.028408216531464452,-1.1758053279892968,0.5207695553833201,24782.4862,34210.75892,RE-4,1804,IT-A,47384,34550.633,34398,12503,1354,-3.7310060148003945
4346,15347.0199,0.9563963323493452,1.031290453999146,1.213265447207752,34237.5262,19917.33367,RE-2,2008,IT-F,35643,26209.163500000002,34284,14726,1598,10.723219828235646
5727,8188.8956,-1.0782766219138944,0.7550215309693807,-1.5374385355259215,21614.8129,43684.90838,RE-9,1892,IT-4,35651,12693.258,7994,22893,1629,-6.725017892725344
